Gene	Family Member	PMID	Species	Experimental Tissue(s)	Cell line	Experiment	# Replicates	Control	Quality/Fold Change
HSP90beta	STAT3	9461509	human	hepatocyte carcinoma	HuH7	EMSA	1	wt  vs mutant competitors	high
HSP90beta	STAT3	9461509	human	hepatocyte carcinoma	HuH7	reporter gene  expression vector for both	NA	wt vs expressed STAT3/ unexpressed STAT3/expressed STAT3 (expressed through il6)	8/na/na
sIL-1ra	STAT6	8757327	mouse	macrophage	RAW264.7	EMSA	NA	wt SBE1(of sIL-1ra) vs. expressed STAT6(through IL-4)	high
OSM	STAT5b	10556323	human	histiocytic lymphoma	U937 	EMSA	1	wt OSM vs expressed stat5b 	high
OSM 	STAT5b	10556323	human	histiocytic lymphoma	U937 	reporter gene (luciferase)	1	wt OSM vs expressed stat5b (expressed through gm-csf)	3
IL-2Ralpha	stat5a	8943338	human	T cells	Kit225	emsa	1	wt (deprived il-2) vs. expressed stat5a/b (il-2 stimulation)	medium
IL-2Ralpha	stat5b	8943338	human	T cells	Kit225	emsa	1	wt (deprived il-2) vs. expressed stat5a/b (il-2 stimulation)	medium
IL-2Ralpha	stat5	8943338	human	T cells	Kit225	western blot	1	wildtype probe	high
IL-2Ralpha	stat4	10068671	human	T cells	na	emsa	1	wt vs expressed stat(cytokine stimulation)	high
IL-2Ralpha	stat3	10068671	human	T cells	na	emsa	1	wt vs expressed stat(cytokine stimulation)	high
IL-2Ralpha	stat1	10068671	human	T cells	na	emsa	1	wt vs expressed stat(cytokine stimulation)	high
PIM1	stat1	10068671	human	T cells	na	emsa	1	wt vs expressed stat(cytokine stimulation)	high
PIM1	stat3	10068671	human	T cells	na	emsa	1	wt vs expressed stat(cytokine stimulation)	high
PIM1	stat4	10068671	human	T cells	na	emsa	1	wt vs expressed stat(cytokine stimulation)	high
IRF1	stat1	10068671	human	T cells	na	emsa	1	wt vs expressed stat(cytokine stimulation)	high
IRF1	stat3	10068671	human	T cells	na	emsa	1	wt vs expressed stat(cytokine stimulation)	high
IRF1	stat4	10068671	human	T cells	na	emsa	1	wt vs expressed stat(cytokine stimulation)	high
IFP53	stat5	10068671	human	T cells	na	emsa	1	wt vs expressed stat(cytokine stimulation)	high
IL-2Ralpha	stat5	11278301	mouse	CTLL	T cells	semi qPCR	1	wt vs. expressed STAT (IL-2)	high
