Gene	Family Member	PMID	Species	Experimental Tissue(s)	Cell line	Experiment	# Replicates	Control	Quality/Fold Change
CDKN1A	E2f1	22480684	Human	bone	U2OS	Western Blot	3	Actin	High
CDKN1A	E2f1	22480684	Human	bone	U2OS	ChIP	3	No treatment with ADR	High
cyp1a1	E2f2	20573986	Mouse	lymphocytes	NA	qPCR	1	WT lymphocytes	High/2
bax	E2f2	20573986	Mouse	lymphocytes	NA	qPCR	1	WT lymphocytes	Medium/1.7
Fasl	E2f2	20573986	Mouse	lymphocytes	NA	qPCR	1	WT lymphocytes	High/2.5
Ahr	E2f2	20573986	Mouse	lymphocytes	NA	Western Blot	3	WT lymphocytes	High/1.9
Ahr	E2f2	20573986	Mouse	lymphocytes	NA	qPCR	3	WT lymphocytes	High/2
Ahr	E2f2	20573986	Mouse	lymphocytes	NA	ChIP	3	beta-actin + mock	Medium/-1.5
Ahrr	E2f2	20573986	Mouse	lymphocytes	NA	Western Blot	3	WT lymphocytes	High/2.6
Ahrr	E2f2	20573986	Mouse	lymphocytes	NA	ChIP	3	beta-actin + mock	Medium/-1.5
Ahrr	E2f2	20573986	Mouse	lymphocytes	NA	qPCR	3	WT lymphocytes	High/-2
Arnt	E2f2	20573986	Mouse	lymphocytes	NA	ChIP	3	beta-actin + mock	High/-2
Aip	E2f2	20573986	Mouse	lymphocytes	NA	ChIP	3	beta-actin + mock	High/2
Aip	E2f2	20573986	Mouse	lymphocytes	NA	qPCR	3	WT lymphocytes	Medium/1.5
Aip	E2f2	20573986	Mouse	lymphocytes	NA	Western Blot	1	WT lymphocytes	High
Apaf1	E2f1	18951482	Mouse	retina	661W	ChIP	3	genomic DNA	Medium/1.5
Apaf1	E2f1	11159908	Human	embryonic lung	WI-38	Northern Blot	1	NA	NA
Apaf1	NA	11159908	Human	bone	U2OS	Western Blot	1	NA	NA
Apaf1	NA	11159908	Human	bone	U2OS	Microarray,Northern Blot	3	U2OS control	
arglu1	E2f7	22180533	Mouse	cervical	HeLa cells	ChIP-seq	3	non immune IgGs	
arglu1	E2f7	22180533	Mouse	cervical	HeLa cells	Western Blot	1	gamma tubulin	
arglu1	E2f7	22180533	Mouse	cervical	HeLa cells	Microarray	1	NA	NA
Asf1b	E2f6	17328667	Human	cervical	HeLa cells	ChIP	3	GAPDH promoter primer	High/2.6
Asf1b	E2f7	22180533	Mouse	cervical	HeLa cells	ChIP-seq	3	non immune IgGs	
Asf1b	E2f7	22180533	Mouse	cervical	HeLa cells	Western Blot	3	gamma tubulin	
Asf1b	E2f7	22180533	Mouse	cervical	HeLa cells	Microarray	3	NA	NA
Ask	E2f1	12015319	Mouse	bone marrow	Pro-B	EMSA	1	NA	NA
Ask	E2f1	12015319	Mouse	bone marrow	Pro-B	Reporter Gene Assay	1	NA	NA
Ask	E2f1	12015319	Mouse	bone marrow	Pro-B	Northern Blot	3	NA	NA
TopoII	E2f4	11799067	Human	embryonic lung	WI-38	ChIP	3	Mock	High/2
Mad2	E2f4	11799067	Human	embryonic lung	WI-38	ChIP	1	Mock	High/3.5
Mad2	E2f1	11799067	Human	embryonic lung	WI-38	ChIP	1	Mock	Medium/2
Rad54	E2f4	11799067	Human	embryonic lung	WI-38	ChIP	3	Mock	High/3.5
Rad54	E2f1	11799067	Human	embryonic lung	WI-38	ChIP	1	Mock	Medium/1.8
Bard1	E2f4	11799067	Human	embryonic lung	WI-38	ChIP	1	Mock	High/2.5
Bard1	E2f1	11799067	Human	embryonic lung	WI-38	ChIP	1	Mock	Medium/1.5
Chk1	E2f4	11799067	Human	embryonic lung	WI-38	ChIP	1	Mock	High/2.5
Mlh1	E2f4	11799067	Human	embryonic lung	WI-38	ChIP	1	Mock	Medium/1.5
Msh2	E2f4	11799067	Human	embryonic lung	WI-38	ChIP	1	Mock	High/1.8
Msh2	E2f1	11799067	Human	embryonic lung	WI-38	ChIP	1	Mock	Low/1.2
Ask	E2f4	11799067	Human	embryonic lung	WI-38	ChIP	1	Mock	
Rad52	E2f1	11937641	Human	Foreskin fibroblasts	Saos-2	Microarray,RT-PCR	3	NA	Ratio +/- 4OHT: 10.41
Map3k14	E2f1	11937641	Human	Foreskin fibroblasts	Saos-2	Microarray,RT-PCR	3	NA	Ratio +/- 4OHT: 5.15
TP73	E2f1	11937641	Human	Foreskin fibroblasts	Saos-2	Microarray,RT-PCR	3	NA	Ratio +/- 4OHT
Ccne1	E2f1	11937641	Human	Foreskin fibroblasts	Saos-2	Microarray,RT-PCR	3	NA	Ratio +/- 4OHT: 4.16
Kia0767	E2f1	11937641	Human	Foreskin fibroblasts	Saos-2	Microarray,RT-PCR	3	NA	Ratio +/- 4OHT: 12.88
Atad2	E2f7	22180533	Mouse	cervical	HeLa cells	ChIP-seq	3	non immune IgGs	
Atad2	E2f7	22180533	Mouse	cervical	HeLa cells	Western Blot	1	gamma tubulin	
Atad2	E2f7	22180533	Mouse	cervical	HeLa cells	Microarray	3	NA	NA
Atm	E2f1	12527885	Mouse	Embyronic Fibroblasts 	NIH3T3	Reporter Gene Assay	1	NA	High/-2 decrease
M13352	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.5 ± 0.3
M19438	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	5.3 ± 0.8
AA023099	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	15.2 ± 2.8
K02927	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.5 ± 0.3
M14223	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	4.3 ± 0.5
X15666	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	19.6 ± 5.4
U63337	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	1.9 ± 0.5
X75888	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	14.4 ± 3.6
X62154	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.2 ± 0.2
D26091	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	1.9 ± 0.1
AA690055	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.0 ± 0.1
AA692716	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	5.3 ± 2.9
X53068	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.2 ± 0.4
W20901	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.0 ± 0.5
D13544	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.1 ± 0.3
D12513	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.1 ± 1.1
D12513	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.5 ± 1.8
U04674	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.2 ± 0.3
L26320	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.8 ± 1.1
D13473	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.6 ± 0.9
U58633	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	1.9 ± 0.4
AA008043	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.3 ± 0.4
Z26580	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.2 ± 0.1
X58708	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.9 ± 0.6
X66032	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	1.9 ± 0.2
X82786	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.2 ± 0.1
D49544	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	5.3 ± 1.1
U42385	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.9 ± 0.9
Z31235	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.1 ± 0.2
AA267955	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	1.8 ± 0.2
AF002823	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.2 ± 1.0
D55720	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	3.0 ± 1.5
Z46757	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	6.2 ± 1.8
U52951	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	2.7 ± 0.0
D21099	E2f1	11416145	Mouse	Embryo fibroblast	2r15	Northern Blot	1	NA	6.1 ± 0.9
